step_share,jump_ratio,step_over_gap,step_pos,path_over_gap,run,tier,prompt_id,seed,DR,Mmid,dino,clip,pix,abrupt,online
0.04068051651120186,6.688902854919434,0.5856992602348328,0.21428571428571427,14.397537231445312,R1,high,P27H,44,0.4429912269115448,0.045045045045045,0.9905967712402344,0.5710816383361816,1.2271840572357178,False,False
0.032390788197517395,2.909569025039673,0.2864435315132141,0.16071428571428573,8.843364715576172,R1,high,P28H,42,0.3240488171577453,0.2522522522522522,1.0035260915756226,0.58359694480896,0.9141878485679626,False,False
0.036887116730213165,5.613132953643799,0.31481966376304626,0.16071428571428573,8.534677505493164,R1,high,P28H,43,0.2310631871223449,0.1441441441441441,0.9866362810134888,0.5986596941947937,0.9346669912338256,False,False
0.034503038972616196,33.315467834472656,0.30622047185897827,0.3392857142857143,8.875173568725586,R1,high,P28H,44,0.2152128219604492,0.1441441441441441,1.020148515701294,0.6184862852096558,0.9787381291389464,False,False
0.034393224865198135,5.398468494415283,0.2309703528881073,0.6607142857142857,6.715577125549316,R1,high,P29H,42,0.5419955849647522,0.5045045045045045,1.0307660102844238,0.6656415462493896,1.0815192461013794,False,False
0.03609057515859604,7.520813941955566,0.2020341157913208,0.3392857142857143,5.59797477722168,R1,high,P29H,43,0.3929069936275482,0.3873873873873873,1.0134745836257937,0.6691194772720337,1.048943281173706,False,False
0.04323560371994972,7.65714168548584,0.13373392820358276,0.5625,3.0931434631347656,R1,high,P29H,44,0.2886220216751098,0.2702702702702703,1.0136805772781372,0.6842086315155029,1.1566120386123655,False,False
0.02032654359936714,4.4752349853515625,0.026039618998765945,0.42857142857142855,1.2810648679733276,R1,high,P30H,42,0.0523658096790313,0.2252252252252252,1.028456449508667,0.5665619373321533,0.9502676129341124,False,True
0.017413876950740814,2.2731268405914307,0.026906412094831467,0.5714285714285714,1.5451133251190186,R1,high,P30H,43,0.1371595114469528,0.2792792792792792,1.0186641216278076,0.5853312611579895,0.9266222715377808,False,False
0.020169856026768684,2.7360804080963135,0.03709227964282036,0.5714285714285714,1.8389958143234253,R1,high,P30H,44,0.1163506433367729,0.2432432432432432,0.9644806385040284,0.5096978545188904,0.9242243766784668,False,True
