prompt_id,seed,tier,DR_R1,DR_R2,DR_R3,dDR_R2_minus_R1,dDR_R3_minus_R1,dDR_R3_minus_R2,realized_dino,clip_dist,pixel_gap
P04H,43,high,0.6933605670928955,0.5590646266937256,0.5536974668502808,-0.1342959403991699,-0.1396631002426147,-0.0053671598434448,0.6436781287193298,0.3010459542274475,0.9058797955513
P04H,44,high,0.8784747123718262,0.7034255266189575,0.7514806985855103,-0.1750491857528686,-0.1269940137863159,0.0480551719665527,0.6592342853546143,0.1983303427696228,0.9513954520225524
P05H,42,high,0.6018710732460022,0.6109315752983093,0.2135647237300872,0.0090605020523071,-0.3883063495159149,-0.397366851568222,0.9827249646186828,0.4759860038757324,1.0266987085342407
P05H,43,high,0.6850706934928894,0.5721197128295898,0.0511669218540191,-0.1129509806632995,-0.6339037716388702,-0.5209527909755707,0.9647729992866516,0.42327165603637695,1.0442242622375488
P05H,44,high,0.5380000472068787,0.4984174966812134,0.1247201636433601,-0.0395825505256652,-0.4132798835635185,-0.3736973330378532,0.9879730343818665,0.45055443048477173,1.0497446060180664
P06H,42,high,0.2014235407114029,0.2366658002138137,0.1084528788924217,0.0352422595024108,-0.0929706618189811,-0.128212921321392,0.9806668758392334,0.4143548011779785,0.8330869674682617
P06H,43,high,0.1563375741243362,0.1480562090873718,0.1392520666122436,-0.0082813650369644,-0.0170855075120925,-0.0088041424751281,1.005301594734192,0.4324915409088135,0.8834311366081238
P06H,44,high,0.2093205749988556,0.2153351306915283,0.1476176679134369,0.0060145556926727,-0.0617029070854187,-0.0677174627780914,0.9983325600624084,0.4081817865371704,0.8389516472816467
P06L,42,low,0.3546831011772156,0.29411780834198,0.3343289494514465,-0.0605652928352355,-0.020354151725769,0.0402111411094665,0.9073150157928468,0.3632093667984009,0.8829370141029358
P06L,43,low,0.6850451231002808,0.6712397336959839,0.666637659072876,-0.0138053894042968,-0.0184074640274047,-0.0046020746231079,0.7185764312744141,0.17342615127563477,1.0393754243850708
P06L,44,low,0.2407466024160385,0.2051659077405929,0.2256935536861419,-0.0355806946754455,-0.0150530487298965,0.020527645945549,0.6390891671180725,0.2878319025039673,0.8900290727615356
P07H,42,high,0.3702477812767029,0.362765371799469,0.2786828279495239,-0.0074824094772338,-0.0915649533271789,-0.084082543849945,1.0277444124221802,0.43548476696014404,0.7564296722412109
P07H,43,high,0.2372701168060302,0.2079196870326995,0.2029991894960403,-0.0293504297733306,-0.0342709273099899,-0.0049204975366592,1.0062681436538696,0.4105416536331177,0.8776676654815674
P07H,44,high,0.3373394906520843,0.3477690517902374,0.3347654938697815,0.010429561138153,-0.0025739967823028,-0.0130035579204559,0.985041320323944,0.4895201325416565,0.758611261844635
P08H,42,high,0.3675394356250763,0.3813450634479522,0.3066681027412414,0.0138056278228759,-0.0608713328838348,-0.0746769607067108,1.0139449834823608,0.38848280906677246,0.9529079794883728
P08H,43,high,0.3691661655902862,0.169765830039978,0.1586434245109558,-0.1994003355503082,-0.2105227410793304,-0.0111224055290222,1.0075950622558594,0.4101274013519287,0.961197555065155
P08H,44,high,0.3518728017807007,0.1489318013191223,0.0578614324331283,-0.2029410004615783,-0.2940113693475723,-0.0910703688859939,1.0002928972244265,0.4643821716308594,0.94828462600708
P09H,42,high,0.604594349861145,0.5338831543922424,0.0495194420218467,-0.0707111954689025,-0.5550749078392982,-0.4843637123703956,0.9430845379829408,0.4123174548149109,0.7780449390411377
P09H,43,high,0.9019961953163148,0.894762396812439,0.2613628506660461,-0.0072337985038757,-0.6406333446502686,-0.6333995461463928,0.8987104892730713,0.5162885189056396,0.7421147227287292
P09H,44,high,0.5909912586212158,0.5709542036056519,0.0636438727378845,-0.0200370550155639,-0.5273473858833313,-0.5073103308677673,0.9566075801849364,0.47254031896591187,0.861601710319519
P09L,42,low,0.4399754106998443,0.2991207838058471,0.2960467934608459,-0.1408546268939972,-0.1439286172389984,-0.0030739903450012,0.7299018502235413,0.15928351879119873,0.8672255277633667
P09L,43,low,0.5956738591194153,0.5366238355636597,0.5278458595275879,-0.0590500235557556,-0.0678279995918273,-0.0087779760360717,0.4891654849052429,0.2398167848587036,0.9043744802474976
P09L,44,low,0.3949073553085327,0.3866546750068664,0.4033232033252716,-0.0082526803016662,0.0084158480167388,0.0166685283184051,0.5432265996932983,0.28291934728622437,0.9040369391441344
P10H,42,high,1.5282336473464966,1.751131534576416,0.2152271419763565,0.2228978872299194,-1.31300650537014,-1.5359043926000595,0.8633378744125366,0.4492248296737671,0.452422022819519
P10H,43,high,0.8341830968856812,0.5418251752853394,0.378926932811737,-0.2923579216003418,-0.4552561640739441,-0.1628982424736023,0.9694121479988098,0.4839855432510376,0.5832571387290955
