step_share,step_over_gap,step_pos,n_steps_big,md5,variant,endpoint,seed,two_sided,foreign,cls,DR_med,M,prompt,grid,sided
0.08555468916893005,0.13787589967250824,0.3472222222222222,8,546372c8fcd4ce0ef5a1577987c78e85,07_effect_v3ed81__dai,ed.Arm_shadow_chains.0e513cd16d065c6a.M,42,False,False,CUT,0.0712150260806083,0.050632911392405,effect,v3ed81,one
0.07649770379066467,0.1228584349155426,0.2638888888888889,10,1e71087180503e3af89758acf4724979,07_effect_v3ed81__dai,ed.Arm_shadow_chains.0e513cd16d065c6a.M,43,False,False,CUT,0.0206306036561727,0.0632911392405063,effect,v3ed81,one
0.030009187757968903,0.20170295238494873,0.3888888888888889,43,cd0878c222ac770c6a174a18e44cf604,07_effect_v3ed81__dai,ed.Body_vine_slime.142742df912f8b98.M,42,False,False,REAL,0.1845028847455978,0.1265822784810126,effect,v3ed81,one
0.019917532801628113,0.13226236402988434,0.6666666666666666,61,7d45a70e6683efd5953edaccf2b35bc0,07_effect_v3ed81__dai,ed.Body_vine_slime.142742df912f8b98.M,43,False,False,REAL,0.3892474770545959,0.4556962025316455,effect,v3ed81,one
0.04599887132644653,0.1835135966539383,0.6111111111111112,12,87c64d3d23f9ea28bb8520c78d4614be,07_effect_v3ed81__dai,ed.Body_vine_slime.142742df912f8b98.M,42,False,False,REAL,0.1224701404571533,0.2784810126582278,effect,v3ed81,one
0.0462394542992115,0.23280926048755646,0.4027777777777778,9,c783cf6ce4fff156a525117219f5d2a1,07_effect_v3ed81__dai,ed.Body_vine_slime.142742df912f8b98.M,43,False,False,REAL,0.1463294625282287,0.1139240506329113,effect,v3ed81,one
0.044452279806137085,0.2520260214805603,0.2777777777777778,15,ad37e714283c967f3f84c4b8932fe17e,07_effect_v3ed81__dai,ed.Back_page_wings.06c44eb16774b786.M,42,False,False,REAL,0.1894193887710571,0.1012658227848101,effect,v3ed81,one
0.05588705837726593,0.313483864068985,0.25,3,7b9aa3febcbcadb985de9c7704879f9e,07_effect_v3ed81__dai,ed.Back_page_wings.06c44eb16774b786.M,43,False,False,REAL,0.4219003021717071,0.4936708860759494,effect,v3ed81,one
0.02620396763086319,0.24562133848667145,0.5,42,1a10bfdcd39e3c885bf92c2e2922b62d,07_effect_v3ed81__dai,ed.Back_page_wings.06c44eb16774b786.M,42,False,False,REAL,0.2577270865440368,0.1392405063291139,effect,v3ed81,one
0.020806824788451195,0.3480519950389862,0.6805555555555556,49,b2fa316d00174d090cdcd4dbc1079201,07_effect_v3ed81__dai,ed.Back_page_wings.06c44eb16774b786.M,43,False,False,REAL,0.3432835042476654,0.189873417721519,effect,v3ed81,one
0.03944586217403412,0.8099109530448914,0.9166666666666666,26,9fdecec465b0b6c8a60921d493a5c7a3,07_effect_v3ed81__dai,ed.Body_Banknote_Shield.0640ff900e5d6c50.M,42,False,False,REAL,0.3220431208610534,0.1518987341772152,effect,v3ed81,one
0.03205990046262741,0.5291494131088257,0.9444444444444444,28,06afbf9aee04c1f9de59364116da1f2f,07_effect_v3ed81__dai,ed.Body_Banknote_Shield.0640ff900e5d6c50.M,43,False,False,REAL,0.3336030840873718,0.3670886075949367,effect,v3ed81,one
0.04883573576807976,0.2036924511194229,0.4027777777777778,18,0eb09330686b7d8a78808aafd58f95e0,07_effect_v3ed81__dai,ed.Body_Banknote_Shield.0640ff900e5d6c50.M,42,False,False,REAL,0.2189089208841323,0.2151898734177215,effect,v3ed81,one
0.060546427965164185,0.19366079568862915,0.8888888888888888,13,0613f9b1a9799941321495da07236a55,07_effect_v3ed81__dai,ed.Body_Banknote_Shield.0640ff900e5d6c50.M,43,False,False,REAL,0.2751938700675964,0.3164556962025316,effect,v3ed81,one
0.03137141093611717,0.16835954785346985,0.9444444444444444,41,10a1b523d8c2e967d4c004a86d0e8ea1,07_effect_v3ed81__dai,ed.Body_laser_shield.03f28acb3eadecd1.M,42,False,False,REAL,0.319242388010025,0.2911392405063291,effect,v3ed81,one
0.04231991991400719,0.27394339442253113,0.3472222222222222,15,5a7a389bc3f1c18ad3f86e32eb5a5f24,07_effect_v3ed81__dai,ed.Body_laser_shield.03f28acb3eadecd1.M,43,False,False,REAL,0.2210768163204193,0.3670886075949367,effect,v3ed81,one
0.030165545642375946,0.14138484001159668,0.3333333333333333,27,c160747fa0058d2820bc399069dcb509,07_effect_v3ed81__dai,ed.Body_laser_shield.03f28acb3eadecd1.M,42,False,False,REAL,0.3139456212520599,0.1012658227848101,effect,v3ed81,one
0.0476682148873806,0.526714026927948,0.875,17,b88a7d4ac1fad682141443b2fbe54ebd,07_effect_v3ed81__dai,ed.Body_laser_shield.03f28acb3eadecd1.M,43,False,False,REAL,0.7041493058204651,0.4810126582278481,effect,v3ed81,one
0.04950821027159691,0.2500380277633667,0.6388888888888888,19,3ab6a7e95e8f84d92919479a954d1bcc,07_effect_v3ed81__dai,humanvid_6970182,42,False,True,CUT,0.0362134985625743,0.1772151898734177,effect,v3ed81,one
0.05090568959712982,0.26398393511772156,0.7222222222222222,17,d5d57556184d38c2e94b2c65de18a731,07_effect_v3ed81__dai,humanvid_6970182,43,False,True,CUT,0.0857923924922943,0.1772151898734177,effect,v3ed81,one
0.06343880295753479,0.4144974946975708,0.6388888888888888,7,819a0292802ea3d6baa8960af6e7c5be,07_effect_v3ed81__dai,humanvid_6970182,42,False,True,REAL,0.2375063300132751,0.1139240506329113,effect,v3ed81,one
0.027577057480812073,0.2834242880344391,0.3055555555555556,39,10a4c11ec7e96e6a1c25b9f8f00dfd1a,07_effect_v3ed81__dai,humanvid_6970182,43,False,True,REAL,0.2722788155078888,0.3291139240506329,effect,v3ed81,one
0.11082281172275543,0.5033822059631348,0.375,7,a92d31f1052b034f98a99b278f46bc9c,07_effect_v3ed81__dai,ed.Body_Laser_Aura.1858d4165ab7c7d2.M,42,False,False,REAL,0.2732660472393036,0.240506329113924,effect,v3ed81,one
