group,endpoint,seed,abrupt,cls,gap,transit_frames,jump3,jump1,fracA,fracB,fracElse
both/effect,firelava_4,43,False,REAL,96.57447052001953,30,0.41676852107048035,0.3366856276988983,0.028846153846153848,0.2403846153846154,0.7307692307692307
both/effect,earth_wave_5,42,False,REAL,90.65776062011719,18,0.3219495415687561,0.1109270453453064,0.07692307692307693,0.16346153846153846,0.7596153846153847
both/effect,earth_wave_5,43,False,REAL,90.61996459960938,11,0.22374936938285828,0.08408790826797485,0.08653846153846154,0.3269230769230769,0.5865384615384615
both/effect,firelava_4,42,False,REAL,96.52242279052734,42,0.23534229397773743,0.13329103589057922,0.028846153846153848,0.4230769230769231,0.5480769230769231
both/effect,firelava_4,43,False,REAL,96.44459533691406,33,0.2890016436576843,0.11350613832473755,0.028846153846153848,0.2692307692307692,0.7019230769230769
both/effect,hero_flight_6,42,False,REAL,79.8084716796875,67,0.2709301710128784,0.13211041688919067,0.009615384615384616,0.0,0.9903846153846154
both/effect,hero_flight_6,43,False,REAL,79.50489044189453,55,0.26538801193237305,0.1259216070175171,0.057692307692307696,0.019230769230769232,0.923076923076923
both/effect,water_bending_3,42,False,REAL,81.96826171875,16,0.4188135862350464,0.17306184768676758,0.22115384615384615,0.1346153846153846,0.6442307692307693
both/effect,water_bending_3,43,False,REAL,81.91472625732422,16,0.5472122430801392,0.2993415594100952,0.28846153846153844,0.15384615384615385,0.5576923076923077
both/effect,giant_grab_5,42,True,REAL,41.26953125,48,0.5745863914489746,0.549584686756134,0.04807692307692308,0.1346153846153846,0.8173076923076923
both/effect,giant_grab_5,43,False,REAL,41.381141662597656,26,0.8249632120132446,0.34340858459472656,0.0673076923076923,0.1346153846153846,0.7980769230769231
both/effect,hero_flight_5,42,True,REAL,80.56367492675781,23,0.4516794681549072,0.40999698638916016,0.07692307692307693,0.3557692307692308,0.5673076923076923
both/effect,hero_flight_5,43,True,CUT,80.5324935913086,3,0.7731984853744507,0.7606313228607178,0.028846153846153848,0.7019230769230769,0.2692307692307693
both/effect,earth_wave_5,42,False,REAL,90.65547943115234,52,0.16654321551322937,0.05947461724281311,0.08653846153846154,0.19230769230769232,0.7211538461538461
both/effect,earth_wave_5,43,False,REAL,90.61942291259766,52,0.25325387716293335,0.10085815191268921,0.07692307692307693,0.27884615384615385,0.6442307692307693
both/effect,flame_transition_2,42,False,REAL,65.57319641113281,5,0.4911007583141327,0.19311048090457916,0.009615384615384616,0.3557692307692308,0.6346153846153846
both/effect,flame_transition_2,43,False,REAL,65.64110565185547,5,0.45741504430770874,0.15752440690994263,0.009615384615384616,0.38461538461538464,0.6057692307692308
both/effect,flame_transition_3,42,False,REAL,74.4756851196289,16,0.31615006923675537,0.12191218137741089,0.10576923076923077,0.41346153846153844,0.48076923076923084
both/effect,flame_transition_3,43,False,REAL,74.64327239990234,14,0.22872385382652283,0.08616296201944351,0.019230769230769232,0.40384615384615385,0.5769230769230769
both/effect,shadow_smoke_0,42,False,REAL,74.46863555908203,15,0.2754310965538025,0.09814125299453735,0.07692307692307693,0.09615384615384616,0.826923076923077
both/effect,shadow_smoke_0,43,False,REAL,74.21052551269531,5,0.5730692148208618,0.20026493072509766,0.14423076923076922,0.08653846153846154,0.7692307692307693
both/effect,air_bending_1,42,False,DISSOLVE,67.62256622314453,3,1.0542776584625244,0.45623040199279785,0.23076923076923078,0.41346153846153844,0.3557692307692307
both/effect,air_bending_1,43,False,CUT,67.59309387207031,3,0.7733390927314758,0.28104573488235474,0.22115384615384615,0.4230769230769231,0.3557692307692308
both/effect,hero_flight_6,42,False,REAL,79.67178344726562,72,0.21525371074676514,0.10259139537811279,0.009615384615384616,0.019230769230769232,0.9711538461538461
both/effect,hero_flight_6,43,False,REAL,79.10322570800781,59,0.3231041729450226,0.1313793659210205,0.009615384615384616,0.057692307692307696,0.9326923076923077
both/effect,hero_flight_5,42,False,REAL,80.62287902832031,34,0.1918233036994934,0.07498109340667725,0.057692307692307696,0.3076923076923077,0.6346153846153846
both/effect,hero_flight_5,43,False,REAL,80.4132308959961,22,0.3910265564918518,0.22157180309295654,0.038461538461538464,0.28846153846153844,0.6730769230769231
both/effect,giant_grab_3,42,False,REAL,41.02748489379883,2,1.0575560331344604,0.47350144386291504,0.0,0.0,1.0
both/effect,giant_grab_3,43,False,REAL,40.74879455566406,3,0.7017437219619751,0.47647038102149963,0.0,0.0,1.0
both/effect,shadow_smoke_0,42,False,REAL,74.86097717285156,3,0.619787871837616,0.22174327075481415,0.11538461538461539,0.0673076923076923,0.8173076923076923
both/effect,shadow_smoke_0,43,False,REAL,74.33637237548828,0,1.4452667236328125,0.9277737140655518,0.11538461538461539,0.08653846153846154,0.798076923076923
both/effect,flying_cam_transition_4,42,False,REAL,77.42816925048828,38,0.12852227687835693,0.05550354719161987,0.04807692307692308,0.33653846153846156,0.6153846153846153
both/effect,flying_cam_transition_4,43,False,REAL,77.28782653808594,24,0.14078283309936523,0.09106588363647461,0.04807692307692308,0.17307692307692307,0.7788461538461537
both/effect,firelava_4,42,False,REAL,96.60629272460938,24,0.25337180495262146,0.10799044370651245,0.028846153846153848,0.4230769230769231,0.5480769230769231
both/effect,firelava_4,43,False,REAL,96.52053833007812,27,0.220381498336792,0.09884583950042725,0.019230769230769232,0.23076923076923078,0.75
both/effect,display_transition_1,42,False,REAL,44.4974479675293,13,0.293018102645874,0.10092255473136902,0.16346153846153846,0.07692307692307693,0.7596153846153846
both/effect,display_transition_1,43,False,REAL,44.40414047241211,21,0.231727734208107,0.1240883320569992,0.16346153846153846,0.14423076923076922,0.6923076923076923
both/effect,melt_transition_2,42,False,CUT,70.59093475341797,38,0.40782222151756287,0.17125487327575684,0.14423076923076922,0.46153846153846156,0.3942307692307693
both/effect,melt_transition_2,43,False,CUT,70.80464935302734,43,0.3585844933986664,0.16113094985485077,0.125,0.4326923076923077,0.4423076923076923
start(regen)/neutral,water_bending_3,42,True,REAL,132.08554077148438,39,0.6133307218551636,0.2669072449207306,0.09009009009009009,0.08108108108108109,0.8288288288288288
start(regen)/neutral,water_bending_3,43,True,REAL,126.79972839355469,4,0.8155878186225891,0.36574965715408325,0.2702702702702703,0.09009009009009009,0.6396396396396397
start(regen)/neutral,firelava_4,42,True,REAL,97.59502410888672,37,0.6839920282363892,0.4211035370826721,0.02702702702702703,0.009009009009009009,0.963963963963964
start(regen)/neutral,firelava_4,43,False,REAL,91.44501495361328,18,0.492800772190094,0.20757389068603516,0.02702702702702703,0.05405405405405406,0.918918918918919
start(regen)/neutral,flying_cam_transition_4,42,True,REAL,91.58821868896484,42,0.3307102918624878,0.14354461431503296,0.05405405405405406,0.2882882882882883,0.6576576576576576
start(regen)/neutral,flying_cam_transition_4,43,False,REAL,78.09618377685547,23,0.20480766892433167,0.08397358655929565,0.04504504504504504,0.3783783783783784,0.5765765765765766
start(regen)/neutral,hero_flight_1,42,False,REAL,62.6223030090332,60,0.13994501531124115,0.06335091590881348,0.02702702702702703,0.24324324324324326,0.7297297297297298
start(regen)/neutral,hero_flight_1,43,False,REAL,42.20706558227539,5,0.6353948712348938,0.3215166926383972,0.009009009009009009,0.09009009009009009,0.9009009009009009
start(regen)/neutral,shadow_smoke_2,42,True,CUT,104.73790740966797,1,0.8511803150177002,0.8360118865966797,0.2702702702702703,0.7207207207207207,0.009009009009009028
start(regen)/neutral,shadow_smoke_2,43,False,CUT,122.529541015625,11,0.4978958070278168,0.2254205346107483,0.07207207207207207,0.4954954954954955,0.4324324324324324
start(regen)/neutral,hero_flight_5,42,False,CUT,76.907958984375,25,0.09739184379577637,0.039771080017089844,0.0990990990990991,0.4954954954954955,0.40540540540540543
start(regen)/neutral,hero_flight_5,43,False,REAL,67.10306549072266,3,1.2297446727752686,0.5277848243713379,0.018018018018018018,0.0990990990990991,0.8828828828828829
start(regen)/neutral,shadow_smoke_0,42,True,REAL,87.37203216552734,0,0.9809288382530212,0.955763578414917,0.09009009009009009,0.02702702702702703,0.882882882882883
start(regen)/neutral,shadow_smoke_0,43,False,REAL,90.62628936767578,3,0.7346147298812866,0.535857617855072,0.12612612612612611,0.009009009009009009,0.8648648648648648
start(regen)/neutral,display_transition_1,42,True,REAL,75.74810791015625,0,0.9085226058959961,0.8920109272003174,0.16216216216216217,0.08108108108108109,0.7567567567567568
start(regen)/neutral,display_transition_1,43,True,REAL,79.9609375,0,0.9731909036636353,0.9592872858047485,0.2702702702702703,0.08108108108108109,0.6486486486486487
start(regen)/neutral,earth_wave_3,42,True,REAL,104.89750671386719,0,0.8950979709625244,0.8853203058242798,0.16216216216216217,0.44144144144144143,0.3963963963963964
start(regen)/neutral,earth_wave_3,43,False,REAL,108.14132690429688,8,0.4146251082420349,0.23942959308624268,0.0990990990990991,0.12612612612612611,0.7747747747747749
start(regen)/neutral,hero_flight_6,42,False,REAL,108.89934539794922,40,0.1992036998271942,0.17911332845687866,0.018018018018018018,0.09009009009009009,0.8918918918918919
start(regen)/neutral,hero_flight_6,43,False,REAL,86.92474365234375,14,0.4962638020515442,0.2661340832710266,0.009009009009009009,0.018018018018018018,0.9729729729729729
start(regen)/neutral,shadow_smoke_7,42,True,REAL,123.80303955078125,3,0.7277775406837463,0.5572020411491394,0.07207207207207207,0.34234234234234234,0.5855855855855856
start(regen)/neutral,shadow_smoke_7,43,True,REAL,116.57401275634766,0,0.8597521185874939,0.8306236267089844,0.12612612612612611,0.09009009009009009,0.7837837837837838
start(regen)/neutral,melt_transition_2,42,True,REAL,76.62857055664062,0,0.9892976880073547,0.9824032783508301,0.27927927927927926,0.09009009009009009,0.6306306306306306
start(regen)/neutral,melt_transition_2,43,False,REAL,68.10843658447266,6,0.6534146666526794,0.47908973693847656,0.10810810810810811,0.1891891891891892,0.7027027027027026
