group,clip_id,vae_swapfam,vae_lerp,vae_offchord,pix_swapfam,pix_lerp,dino_swapfam,dino_lerp
S-GRID:NULLGEN,null_v3__firelava_4__s43,0.20692002763564057,0.11419114152719058,0.56896234,0.08686639640183026,0.21629152604848556,0.11018394628558896,0.16823214289196467
S-GRID:NULLGEN,null_v3__hero_flight_6__s42,0.23265801878077297,0.18406668352119582,0.652058,0.10923851509780017,0.3012449606534261,0.09839343784412588,0.3798867875315088
S-GRID:NULLGEN,null_v3__hero_flight_6__s43,0.24887417970593445,0.2963663116763504,0.69976896,0.1371884342207523,0.38069717423156835,0.13056678970715296,0.37995332885225713
S-GRID:NULLGEN,null_v3__melt_transition_2__s42,0.0916887068672598,0.19835754324688354,0.40633452,0.04094920275551233,0.24946567359500713,0.04627539266941425,0.24454173539333224
S-GRID:NULLGEN,null_v3__melt_transition_2__s43,0.25215665753312944,0.08135597542805155,0.6280903,0.07073233319489833,0.22459994559771443,0.10005495915077017,0.24913139188417954
S-GRID:NULLGEN,null_v3__raven_transition_2__s42,0.16145022007272516,0.1697029910152975,0.55958086,0.07874354821127719,0.2792424666442328,0.12199587304547094,0.2636025080194778
S-GRID:NULLGEN,null_v3__raven_transition_2__s43,0.2658280990738337,0.1466187456357734,0.67991674,0.1173950831958953,0.3243070484592997,0.11634408641354353,0.33955238526745113
S-GRID:NULLGEN,null_v3__water_bending_3__s42,0.22954537442665454,0.07616869910019002,0.5877313,0.06220792611833422,0.21131511533407554,0.059643443653217956,0.20487211519867238
S-GRID:NULLGEN,null_v3__water_bending_3__s43,0.18999477686696598,0.15424186448012744,0.6025533,0.06734301698811984,0.2955717134809931,0.08757197098059777,0.23208712103832385
S-GRID:NULLGEN,null_v3__flame_transition_2__s42,0.18594681929851986,0.17867691777667571,0.57852256,0.09581832183848987,0.3209627408062932,0.10131917107758405,0.2921958585269723
S-GRID:NULLGEN,null_v3__flame_transition_2__s43,0.19396296351916334,0.13135780843438433,0.5541616,0.10396812987367642,0.24879280176476284,0.0983714832176148,0.28277715196706704
S-GRID:NULLGEN,null_v3__flame_transition_3__s42,0.1244491494004794,0.2516931711778384,0.42999777,0.09472402207747432,0.3052472686582643,0.08392607314702219,0.32790962327374623
S-GRID:NULLGEN,null_v3__flame_transition_3__s43,0.10135081848789858,0.28570593319662047,0.42814374,0.05268955525094012,0.36372504970983227,0.07065695640259301,0.3597923480628412
S-GRID:NULLGEN,null_v3__giant_grab_5__s42,0.23427025848099275,0.12730226503239972,0.7116323,0.20333133747420243,0.1980731256551878,0.19133579785368418,0.18702129221505764
S-GRID:NULLGEN,null_v3__giant_grab_5__s43,0.26441061081304074,0.057073326981946365,0.67302316,0.2513400472442054,0.09162599428683194,0.21437330679320182,0.1278358278064299
S-GRID:NULLGEN,null_v3__shadow_smoke_7__s42,0.16342311147736913,0.3060675887347308,0.56388146,0.051536807150693704,0.4215419160347347,0.05336674316594343,0.44286526499889517
S-GRID:NULLGEN,null_v3__shadow_smoke_7__s43,0.16565072218681826,0.27331418166649124,0.5291778,0.16122556107124464,0.33842110987479856,0.11645394880627122,0.3544547421967294
S-GRID:NULLGEN,null_v3__giant_grab_3__s42,0.24084182106724697,0.1626531289685105,0.6508219,0.20326660717225992,0.13890881749178272,0.279503168479115,0.1546515063766484
S-GRID:NULLGEN,null_v3__giant_grab_3__s43,0.21599599880741902,0.08946046479471227,0.64559954,0.0823482008152985,0.22516782197547636,0.08244355082221373,0.20222744167999657
S-GRID:NULLGEN,null_v3__flying_cam_transition_4__s42,0.18960989185160332,0.14256872577265683,0.60630757,0.042447240403902804,0.24690406279723576,0.05207690658399947,0.22023611951139266
S-GRID:NULLGEN,null_v3__flying_cam_transition_4__s43,0.21249289873564697,0.07872068683040119,0.63188016,0.08145708027764584,0.18685147149626535,0.04378127250181708,0.2195366552803367
S-GRID-F:NULLGEN,gridF_v3__davis_bear_elephant__s42,0.2573013832813321,0.14898308102187632,0.7069554,0.10006628395407974,0.23921676126814173,0.08400702007503226,0.2177151764811651
S-GRID-F:NULLGEN,gridF_v3__davis_bear_elephant__s43,0.3484048877637085,0.1329023327898787,0.7462556,0.12556928040705398,0.21812961167050468,0.0612992271875796,0.28323963258687446
S-GRID-F:NULLGEN,gridF_v3__davis_tennis_snowboard__s42,0.40118435843059286,0.19723840413479293,0.84113675,0.22430237112075807,0.12104508634694151,0.14360420452244702,0.15133213155167444
S-GRID-F:NULLGEN,gridF_v3__davis_tennis_snowboard__s43,0.4370335954180356,0.22603870384593852,0.8231423,0.25635031421549503,0.11406101031837151,0.15583364531473023,0.2052157671734377
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_10042758.humanvid_7537430__s42,0.09627049494304867,0.20098479942324582,0.45937908,0.08882847735426432,0.30172476059081516,0.08843658444149985,0.30219362504058955
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_10042758.humanvid_7537430__s43,0.0852530797089475,0.2534309139622197,0.43943876,0.023868137695388758,0.3221545909661676,0.021720885897418676,0.3107806077306352
