group,clip_id,gini_dino,step_dino,lerp_dino,gini_pix,step_pix
S-GRID:NULLGEN,null_v3__raven_transition_2__s42,0.816086698970649,0.13971148823265672,0.26457353655373783,0.8935546353998833,0.07009519632672165
S-GRID:NULLGEN,null_v3__raven_transition_2__s43,0.6882505779875447,0.1301033547040893,0.33954412880322093,0.7988235374308876,0.11485950799010897
S-GRID:NULLGEN,null_v3__water_bending_3__s42,0.6948656275674732,0.10012674348074907,0.2073350340605495,0.8097887060966342,0.11423964084017066
S-GRID:NULLGEN,null_v3__water_bending_3__s43,0.7173625360511084,0.16024932386621316,0.23114420426834545,0.8930416157228525,0.0601303353143631
S-GRID:NULLGEN,null_v3__flame_transition_2__s42,0.7421636134409881,0.099101107107346,0.2951974069684313,0.9137789834388876,0.06389934102926309
S-GRID:NULLGEN,null_v3__flame_transition_2__s43,0.8201517191030314,0.03488213366837275,0.28672178999123726,0.9260753527663923,0.07541470479024197
S-GRID:NULLGEN,null_v3__flame_transition_3__s42,0.8532029232456271,0.06046507742064249,0.3359286402107911,0.9289927859558167,0.11016881283799189
S-GRID:NULLGEN,null_v3__flame_transition_3__s43,0.7517808453301753,0.08107701313960401,0.3633111952375952,0.9002153875370784,0.08221444295898961
S-GRID:NULLGEN,null_v3__giant_grab_5__s42,0.6197918907687066,0.23054368833918729,0.18992944444638343,0.6203062114174174,0.2426527801985049
S-GRID:NULLGEN,null_v3__giant_grab_5__s43,0.6260719156784762,0.25128224057751747,0.13095260630803282,0.6432028719559106,0.2836180077023755
S-GRID:NULLGEN,null_v3__shadow_smoke_7__s42,0.8471026112946196,0.07779849017872324,0.44521159110901226,0.8658592980741113,0.08621151858441015
S-GRID:NULLGEN,null_v3__shadow_smoke_7__s43,0.8521724893103144,0.1507714165793366,0.3577397950443331,0.8615046070235826,0.20048071155914013
S-GRID:NULLGEN,null_v3__giant_grab_3__s42,0.6854102563040148,0.308932709497415,0.15717136449581506,0.6453780885586105,0.2426417991050223
S-GRID:NULLGEN,null_v3__giant_grab_3__s43,0.7793298850409573,0.12555091280504074,0.2039862995796037,0.8450166123215122,0.09338357722951636
S-GRID:NULLGEN,null_v3__flying_cam_transition_4__s42,0.7811850668746567,0.10424106444296129,0.2209952114710888,0.8141416461575155,0.11050490313247034
S-GRID:NULLGEN,null_v3__flying_cam_transition_4__s43,0.7347444576116136,0.115934712627369,0.22125647362820153,0.6709509580745212,0.14430185985425925
S-GRID-F:NULLGEN,gridF_v3__davis_bear_elephant__s42,0.6657928110880567,0.13105174154926635,0.21908917896283647,0.7279884895349298,0.12873591674724671
S-GRID-F:NULLGEN,gridF_v3__davis_bear_elephant__s43,0.7317795142668455,0.12130672221330353,0.2855688567982811,0.7257196083055171,0.14354052900503314
S-GRID-F:NULLGEN,gridF_v3__davis_tennis_snowboard__s42,0.5995240657608842,0.1888782582966484,0.15105448386488207,0.5462537111822516,0.2586767535781053
S-GRID-F:NULLGEN,gridF_v3__davis_tennis_snowboard__s43,0.5789188023182987,0.18114072163783715,0.20673101695357413,0.5925385926710818,0.28681320073946115
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_10042758.humanvid_7537430__s42,0.8920595465314038,0.0134920507668368,0.30263239104967926,0.9411558898835519,0.011546960168175809
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_10042758.humanvid_7537430__s43,0.842086919843245,0.09640647033247988,0.31224279327648385,0.8912609800901306,0.09518848589499661
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_12405668.humanvid_7539020__s42,0.8178385359694944,0.08792187153332516,0.23344652541130662,0.6356511284647886,0.18829881127094578
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_12405668.humanvid_7539020__s43,0.6877508293939423,0.25784498506980663,0.18397779042356927,0.6972823058190132,0.17367037476551833
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_2402374.humanvid_7663067__s42,0.9162985759851259,0.013268755712779797,0.27618757817603384,0.91339875162829,0.030603223342299802
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_2402374.humanvid_7663067__s43,0.9174556688404396,0.015053274246860784,0.4997918672762835,0.9247221864642972,0.012055601305299004
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_3795426.humanvid_7670221__s42,0.7906367854309386,0.04697779584568062,0.4552365619371956,0.9561642026535995,0.015518316049883784
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_3795426.humanvid_7670221__s43,0.8307071423159187,0.1303082536567911,0.3952508862487606,0.9514491089775603,0.016546548032285086
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4058810.humanvid_7682587__s42,0.877836395765524,0.09899780374207229,0.25157416661847626,0.9202920763775442,0.07608770409192045
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4058810.humanvid_7682587__s43,0.8200812122429881,0.09783316707235784,0.3135972058507015,0.9167473895837939,0.05019102986174297
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4076737.humanvid_7707744__s42,0.7705868732166856,0.06584563944399703,0.42606102068351986,0.8989237158785854,0.04660217427817137
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4076737.humanvid_7707744__s43,0.733802245858296,0.11117549335360552,0.42550036702437233,0.8378296788502857,0.0909114212879174
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4223661.humanvid_7772314__s42,0.9702131145862583,0.004581714031417054,0.38279790558307547,0.9533749142211254,0.031467251233719705
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4223661.humanvid_7772314__s43,0.9055242999651982,0.07832591370853452,0.3278662408575125,0.8529934125326541,0.10746309715219937
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4325522.humanvid_7776745__s42,0.7968271466082666,0.1891237936188849,0.2114288170812131,0.8587860008675554,0.13977063125352357
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4325522.humanvid_7776745__s43,0.7981892560509818,0.11340392899223985,0.21531662794912498,0.8801767301655781,0.19067532025141015
S-GRID-F:NULLGEN,gridF_v3__davis_blackswan_rhino__s42,0.8395588010621584,0.10267713652207706,0.2935978012381693,0.6089303491518916,0.2466328147901927
S-GRID-F:NULLGEN,gridF_v3__davis_blackswan_rhino__s43,0.8237429574979283,0.056283525558690484,0.26883952935640004,0.6209822902749162,0.24485212186731553
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4457812.humanvid_7864986__s42,0.7991224052170383,0.08937681271957508,0.2329225797284759,0.8273184660844191,0.08921671568932732
S-GRID-F:NULLGEN,gridF_v3__hvpair.humanvid_4457812.humanvid_7864986__s43,0.8011789158057117,0.10823979160734008,0.26353086882111454,0.8176487773679761,0.08395668975738908
