space,stratum,tier,ref,default,descriptor,null,n_units,ref_med,def_med,null_med,ref_minus_def,def_minus_null,correct_dir,brief_criterion,paired_frac_correct,headroom_ratio,verdict
DINO,S-PROBE,high,R2,R3,cross,DINOLERP,90,0.2885,0.2837,0.5,0.0048,-0.2163,False,False,0.344,0.022,no-gap(|ref-def|<0.02)
DINO,S-PROBE,high,R2,R3,nu_max,LERP,90,0.9666,0.8183,0.7821,0.1483,0.0361,True,True,0.444,4.105,RIGHT
DINO,S-PROBE,high,R2,R3,nu_max,CUT50,90,0.9666,0.8183,0.0,0.1483,0.8183,True,True,0.811,0.181,RIGHT
DINO,S-PROBE,high,R2,R3,nu_max,FREEZE,90,0.9666,0.8183,0.0,0.1483,0.8183,True,True,0.811,0.181,RIGHT
DINO,S-PROBE,high,R2,R3,nu_max,DINOLERP,90,0.9666,0.8183,0.4952,0.1483,0.323,True,True,0.722,0.459,RIGHT
DINO,S-PROBE,high,R2,R3,path_over_gap,LERP,90,17.2215,8.9282,3.2441,8.2933,5.6841,True,True,0.922,1.459,RIGHT
DINO,S-PROBE,high,R2,R3,path_over_gap,CUT50,90,17.2215,8.9282,1.0,8.2933,7.9282,True,True,0.933,1.046,RIGHT
DINO,S-PROBE,high,R2,R3,path_over_gap,FREEZE,90,17.2215,8.9282,1.0,8.2933,7.9282,True,True,0.933,1.046,RIGHT
DINO,S-PROBE,high,R2,R3,path_over_gap,DINOLERP,90,17.2215,8.9282,1.0,8.2933,7.9282,True,True,0.933,1.046,RIGHT
DINO,S-PROBE,high,R2,R3,step_share,LERP,90,0.0329,0.071,0.0252,-0.0381,0.0458,False,False,0.122,0.831,WRONG
DINO,S-PROBE,high,R2,R3,step_share,CUT50,90,0.0329,0.071,1.0,-0.0381,-0.929,True,True,0.844,0.041,RIGHT
DINO,S-PROBE,high,R2,R3,step_share,FREEZE,90,0.0329,0.071,1.0,-0.0381,-0.929,True,True,0.844,0.041,RIGHT
DINO,S-PROBE,high,R2,R3,step_share,DINOLERP,90,0.0329,0.071,0.0095,-0.0381,0.0615,False,False,0.156,0.62,WRONG
DINO,S-PROBE,inplace,R1,R3,DR,LERP,30,0.4642,0.4291,0.4417,0.0351,-0.0126,False,True,0.367,2.789,negligible(|def-N|<0.02)
DINO,S-PROBE,inplace,R1,R3,DR,CUT50,30,0.4642,0.4291,0.0,0.0351,0.4291,True,True,0.767,0.082,RIGHT
DINO,S-PROBE,inplace,R1,R3,DR,FREEZE,30,0.4642,0.4291,0.0,0.0351,0.4291,True,True,0.767,0.082,RIGHT
DINO,S-PROBE,inplace,R1,R3,DR,DINOLERP,30,0.4642,0.4291,0.0,0.0351,0.4291,True,True,0.767,0.082,RIGHT
DINO,S-PROBE,inplace,R1,R3,M,LERP,30,0.2568,0.2019,0.351,0.0548,-0.149,False,False,0.2,0.368,WRONG
DINO,S-PROBE,inplace,R1,R3,M,CUT50,30,0.2568,0.2019,0.0,0.0548,0.2019,True,True,0.633,0.272,RIGHT
DINO,S-PROBE,inplace,R1,R3,M,FREEZE,30,0.2568,0.2019,0.0,0.0548,0.2019,True,True,0.633,0.272,RIGHT
DINO,S-PROBE,inplace,R1,R3,M,DINOLERP,30,0.2568,0.2019,0.5,0.0548,-0.2981,False,False,0.233,0.184,WRONG
DINO,S-PROBE,inplace,R1,R3,cross,LERP,30,0.3288,0.3317,0.6731,-0.0029,-0.3413,True,True,0.633,0.009,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,cross,CUT50,30,0.3288,0.3317,0.5,-0.0029,-0.1683,True,True,0.433,0.017,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,cross,FREEZE,30,0.3288,0.3317,1.0,-0.0029,-0.6683,True,True,0.667,0.004,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,cross,DINOLERP,30,0.3288,0.3317,0.5,-0.0029,-0.1683,True,True,0.433,0.017,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,nu_max,LERP,30,0.8504,0.8501,0.815,0.0004,0.0351,True,True,0.367,0.011,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,nu_max,CUT50,30,0.8504,0.8501,0.0,0.0004,0.8501,True,True,0.633,0.0,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,nu_max,FREEZE,30,0.8504,0.8501,0.0,0.0004,0.8501,True,True,0.633,0.0,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,nu_max,DINOLERP,30,0.8504,0.8501,0.4952,0.0004,0.3548,True,True,0.633,0.001,no-gap(|ref-def|<0.02)
DINO,S-PROBE,inplace,R1,R3,path_over_gap,LERP,30,19.0785,15.3133,3.451,3.7652,11.8623,True,True,1.0,0.317,RIGHT
DINO,S-PROBE,inplace,R1,R3,path_over_gap,CUT50,30,19.0785,15.3133,1.0,3.7652,14.3133,True,True,1.0,0.263,RIGHT
DINO,S-PROBE,inplace,R1,R3,path_over_gap,FREEZE,30,19.0785,15.3133,1.0,3.7652,14.3133,True,True,1.0,0.263,RIGHT
