group,cls,clip_id,gini,offline,DR
GT:all-two-sided,hero_flight,GT__hero_flight_5,0.6383114242121595,0.44562027603840365,0.5107558505606082
GT:all-two-sided,hero_flight,GT__hero_flight_6,0.5996074555385833,0.5974944865184418,0.6943233795670869
GT:all-two-sided,hero_flight,GT__hero_flight_7,0.5231517279580988,0.5751496816821488,0.6724240477905519
GT:all-two-sided,hero_flight,GT__hero_flight_8,0.6304179842893816,0.5483382465291107,0.5972398779252028
GT:all-two-sided,hero_flight,GT__hero_flight_9,0.6566947110563195,0.5499218811549755,0.5946082442520411
GT:all-two-sided,hole_transition,GT__hole_transition_0,0.5835629083731826,0.5088832280595793,0.4100080855464844
GT:all-two-sided,hole_transition,GT__hole_transition_1,0.5432983012296284,0.6388279966410805,0.7280892692117837
GT:all-two-sided,jump_transition,GT__jump_transition_1,0.6559274907147155,0.32787043648136055,0.2333423447473137
GT:all-two-sided,melt_transition,GT__melt_transition_0,0.7611606725128224,0.2274242683967773,0.20398891215527548
GT:all-two-sided,melt_transition,GT__melt_transition_1,0.6387449950351853,0.3925833642642541,0.40888153429644014
GT:all-two-sided,melt_transition,GT__melt_transition_2,0.7809986578698642,0.24362057703393114,0.17761494577798592
GT:all-two-sided,melt_transition,GT__melt_transition_3,0.7406276709048705,0.23146289720536903,0.21396072751805825
GT:all-two-sided,melt_transition,GT__melt_transition_4,0.6343168602104616,0.4949498215958457,0.37112444669050426
GT:all-two-sided,raven_transition,GT__raven_transition_0,0.48972072248988563,0.6286208309206575,0.7115646268154822
GT:all-two-sided,raven_transition,GT__raven_transition_1,0.6891242617705424,0.5000393852065315,0.6540562263280012
GT:all-two-sided,raven_transition,GT__raven_transition_2,0.5331752075290883,0.5978522570349476,0.7277632416712381
GT:all-two-sided,raven_transition,GT__raven_transition_3,0.4898441162190954,0.6552716786196234,0.7184133275971347
GT:all-two-sided,seamless_transition,GT__seamless_transition_0,0.6274724291239449,0.3434547187010807,0.2431666885368391
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_0,0.5827066433002448,0.49972607038526734,0.5173390859210024
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_1,0.5306596369386938,0.4975109577106408,0.4758345000966565
GT:all-two-sided,shadow_smoke,GT__shadow_smoke_2,0.5533970663396728,0.4354586543544086,0.48137189447923406
