group,cls,clip_id,gini,offline,DR,d_frames,fit_rmse,lerp_rmse,gap_rel
S-PROBE:R3:high,luminous_gaze_3,probe_r3__P25H__s43,0.7338456436561767,0.3178174862227749,0.3325844419984251,32.0,0.0285698326817892,0.2990764239034456,0.5147798257506945
S-PROBE:R3:high,luminous_gaze_3,probe_r3__P25H__s44,0.9053001952518274,0.2494178784342302,0.2557912174690749,12.0,0.051535323674555,0.3436831205434906,0.5685441103648453
S-PROBE:R3:high,saint_glow_3,probe_r3__P26H__s42,0.674023761525476,0.155631315443833,0.1617640079375217,32.0,0.0152623392795098,0.2231906785994519,0.8664409827410801
S-PROBE:R3:high,saint_glow_3,probe_r3__P26H__s43,0.751994813185981,0.2143405657986644,0.2091845807562787,24.0,0.0335114438208604,0.2209333832227712,0.8539748370312245
S-PROBE:R3:high,saint_glow_3,probe_r3__P26H__s44,0.9200808324596949,0.0950396508414472,0.069095205831289,8.0,0.0402713541893046,0.3714348502162927,0.8911551032000897
S-PROBE:R3:high,live_concert_4,probe_r3__P27H__s42,0.7295775551280974,0.196775194502828,0.1207718025075751,32.0,0.0465406913078025,0.2361727073172768,1.2667271896969268
S-PROBE:R3:high,live_concert_4,probe_r3__P27H__s43,0.9094396180785762,0.2167120528151833,0.1762053562383559,1.0,0.05808307823056,0.2869595752773304,1.2645795622999096
S-PROBE:R3:high,live_concert_4,probe_r3__P27H__s44,0.7881772659927535,0.2952838452813474,0.2990036158813207,32.0,0.0814249050829019,0.212267609643885,1.2271840991494083
S-PROBE:R3:high,animalization_0,probe_r3__P28H__s42,0.8920596343164797,0.2070597602849388,0.0940164337119312,16.0,0.0401662367430214,0.4635677655228166,0.9141890776264306
S-PROBE:R3:high,animalization_0,probe_r3__P28H__s43,0.8963372909296248,0.2478169672024623,0.2048019561393289,12.0,0.031784009630904,0.4853895341926111,0.9346678269283684
S-PROBE:R3:high,animalization_0,probe_r3__P28H__s44,0.8095066547457244,0.3121445491323985,0.2392264349051651,24.0,0.0336508511687801,0.4023347689884765,0.9787385170705408
S-PROBE:R3:high,shadow_3,probe_r3__P29H__s42,0.9168199860058353,0.1748533863106908,0.0197696800285641,5.0,0.0529228230545043,0.2813708861258492,1.0815191926700567
S-PROBE:R3:high,shadow_3,probe_r3__P29H__s43,0.7674757100974718,0.3332557077771385,0.3467442206903079,24.0,0.0528831098440791,0.3170792127260717,1.048942588700035
S-PROBE:R3:high,shadow_3,probe_r3__P29H__s44,0.8758928702864728,0.2337977992273415,0.1896900846372118,8.0,0.042378735879011,0.2364865288128153,1.1566106283823496
S-PROBE:R3:high,gas_transformation_1,probe_r3__P30H__s42,0.9569719243447012,0.061174892702106,0.056389465321277,0.5,0.0053480876288384,0.3452578415892613,0.9502674378004794
S-PROBE:R3:high,gas_transformation_1,probe_r3__P30H__s43,0.7791243014739433,0.1762805761430227,0.2011240124165371,16.0,0.0449952948647884,0.3215099235684575,0.9266228034839749
S-PROBE:R3:high,gas_transformation_1,probe_r3__P30H__s44,0.7932285345048429,0.1615505810824323,0.1686133318813132,16.0,0.0302907348786553,0.2817117202446324,0.9242244206652396
S-PROBE:R1:high,wireframe_7,probe__P01H__wireframe_7__s42,0.8063804436001603,0.2677088697227063,0.2188596973116735,32.0,0.1033490120512022,0.2057453377444034,0.8601343531755741
S-PROBE:R1:high,wireframe_7,probe__P01H__wireframe_7__s43,0.6096915349388035,0.3531298091831181,0.3899087497400672,64.0,0.0845134547469927,0.1214933308620556,0.8482699583425701
S-PROBE:R1:high,wireframe_7,probe__P01H__wireframe_7__s44,0.6858884098897402,0.262619172382168,0.2304058673357577,48.0,0.0701093825055082,0.1886006726150507,0.9086886573149204
S-PROBE:R1:high,super_fast_run_10,probe__P02H__super_fast_run_10__s42,0.766367309037663,0.3139821108400583,0.366571817459459,32.0,0.1278859289163124,0.291737065595843,0.8847096841812593
S-PROBE:R1:high,super_fast_run_10,probe__P02H__super_fast_run_10__s43,0.7837640953647591,0.371019589578255,0.3788691174737399,64.0,0.0766953545737326,0.2298693559000403,0.853851697220787
S-PROBE:R1:high,super_fast_run_10,probe__P02H__super_fast_run_10__s44,0.6184652412651572,0.360008205314513,0.3111123859084536,48.0,0.0446261748138275,0.2124322142589279,0.8090147997179565
S-PROBE:R1:high,portal_1,probe__P03H__portal_1__s42,0.5668742837382186,0.4276087630386523,0.4998029265152882,80.0,0.0815695379586912,0.1015967781679645,0.9511843172034918
S-PROBE:R1:high,portal_1,probe__P03H__portal_1__s43,0.6828074206437389,0.3868579915053708,0.4170345052114008,80.0,0.0958488388588643,0.1348049566938789,0.9395125094234564
S-PROBE:R1:high,portal_1,probe__P03H__portal_1__s44,0.6322643629981068,0.4717456774496218,0.4991954386741963,32.0,0.1517494938363891,0.2285007088491592,0.942788144285734
S-PROBE:R1:high,portal_10,probe__P04H__portal_10__s42,0.6187149239707954,0.4715747908814378,0.5115644125266499,32.0,0.1160897227067375,0.2629926909504212,0.9827409770579072
S-PROBE:R1:high,portal_10,probe__P04H__portal_10__s43,0.5808868911508818,0.6008916720306877,0.6933609294360249,80.0,0.1109734318547956,0.1323374524422049,0.8969579089867504
S-PROBE:R1:high,portal_10,probe__P04H__portal_10__s44,0.5564583600110555,0.8147130196687905,0.8784747708340804,80.0,0.1335853278742493,0.1350452434757364,0.9546421934752356
S-PROBE:R1:high,explosion_1,probe__P05H__explosion_1__s42,0.5906151226330956,0.5799016947077676,0.6018713761688295,104.0,0.1378671460819167,0.1378671460819167,1.017074093681036
S-PROBE:R1:high,explosion_1,probe__P05H__explosion_1__s43,0.6296046006348262,0.5877648175646518,0.6850705505559359,80.0,0.1515078580579504,0.1892525496823937,1.0346501153793175
S-PROBE:R1:high,explosion_1,probe__P05H__explosion_1__s44,0.6991402272866407,0.6567805293336759,0.5379999617955681,104.0,0.2079847096571643,0.2079847096571643,1.0428681576039387
S-PROBE:R1:high,explosion_0,probe__P06H__explosion_0__s42,0.5211028845564731,0.2166142308345433,0.2014235980234664,48.0,0.0572945196266756,0.2744055356824448,0.8237616948834338
S-PROBE:R1:high,explosion_0,probe__P06H__explosion_0__s43,0.8250389498613577,0.2192388182236228,0.1563376142238566,24.0,0.0421904125387624,0.3687015721571027,0.8715756327859298
S-PROBE:R1:high,explosion_0,probe__P06H__explosion_0__s44,0.6998067423579997,0.2522057394815259,0.209320711276161,24.0,0.0490738750940333,0.4550981656376428,0.8350303516722134
S-PROBE:R1:high,plasma_explosion_2,probe__P07H__plasma_explosion_2__s42,0.6410968609873275,0.3770114639573221,0.3702480879557349,24.0,0.0724562898521916,0.298694392239851,0.7576063859637348
S-PROBE:R1:high,plasma_explosion_2,probe__P07H__plasma_explosion_2__s43,0.6265705416520291,0.2205501766938802,0.237270103379433,48.0,0.0553751860925195,0.2569814390191547,0.8780542114776847
