space,group,n,swap_tail_frac,jump_med,s_cross_med,never_crossed_frac,s_cross_iqr,DR_med,M_med,nu_max_med,step_share_med,path_over_gap_med
PIX,S-SWEEP:A_word,10,0.4,0.26082165115703704,0.6736111111111112,0.0,0.1840277777777778,0.567782030331328,0.25174825174825166,0.8689256994928115,0.023560672813603953,29.939010326729175
DINO,S-GRID-F:NULLGEN,38,0.5526315789473685,0.5594310428836331,0.3857142857142857,0.0,0.32619047619047625,0.25623244687241165,0.048076923076923,0.8795738083502223,0.0657996231191184,12.224467120871749
DINO,S-GRID:GT,19,0.05263157894736842,0.1994058287860459,0.4761904761904761,0.0,0.18095238095238098,0.5107558653251255,0.3557692307692308,0.9738759644226792,0.0266074119717599,20.83868081067632
DINO,S-GRID:NULLGEN,68,0.3382352941176471,0.4547038410863003,0.37619047619047613,0.0,0.2285714285714286,0.2445094704936025,0.0673076923076923,0.9121923534274662,0.0605512240650142,13.26045699654449
DINO,S-PROBE:R1:high,90,0.044444444444444446,0.23325316120379025,0.3482142857142857,0.0,0.1964285714285714,0.29998131383083504,0.2882882882882883,0.9751373404443118,0.02987342161381,18.710892740479444
DINO,S-PROBE:R1:inplace,30,0.13333333333333333,0.2107207348261437,0.33482142857142855,0.0,0.18973214285714285,0.46416265053008915,0.2567567567567567,0.8504392719237683,0.025121197819513948,19.078515749865673
DINO,S-PROBE:R2:high,90,0.07777777777777778,0.27097930129558534,0.2952380952380952,0.0,0.20476190476190484,0.306168197673392,0.2884615384615384,0.9665593348925772,0.03288255237279595,17.221537887796316
DINO,S-PROBE:R2:inplace,30,0.2,0.2683100491853935,0.33809523809523806,0.0,0.24047619047619054,0.44148188809949795,0.25,0.8611936029321472,0.03275241120204825,15.396617053441904
DINO,S-PROBE:R3:high,90,0.4,0.4768662950537337,0.29047619047619044,0.0,0.1785714285714285,0.18128490176242762,0.048076923076923,0.8182618820748746,0.07099525719556946,8.928249368710674
DINO,S-PROBE:R3:inplace,30,0.2,0.2819939640337933,0.33809523809523806,0.0,0.261904761904762,0.4290662218656244,0.2019230769230769,0.8500525519837832,0.03273612781477335,15.313309613725394
DINO,S-SWEEP:A_empty,10,0.3,0.34206225209807883,0.4409722222222222,0.0,0.4756944444444445,0.47301928825698075,0.21328671328671325,0.9664884880132245,0.020708457686290302,28.15938934345231
DINO,S-SWEEP:A_word,10,0.2,0.32298544672348883,0.6527777777777778,0.0,0.4184027777777778,0.482100682213069,0.1993006993006993,0.9639387953418805,0.0192661710180258,27.095440210013727
VAE,S-GRID-F:NULLGEN,38,0.10526315789473684,0.27877902450436687,0.5,0.0,0.2857142857142858,0.728269385852576,0.5769230769230769,0.9717580717260088,0.11466423342524121,8.61618603483198
VAE,S-GRID:GT,19,0.0,0.2347153418005281,0.5,0.0,0.2142857142857143,0.7406616074853482,0.6923076923076923,0.972040472803588,0.0926025868916616,9.002492512171703
VAE,S-GRID:NULLGEN,68,0.07352941176470588,0.29778789582431386,0.4285714285714285,0.0,0.2142857142857143,0.6071111250054742,0.3076923076923077,0.907382345787794,0.1248763771685918,7.086382451348527
VAE,S-PROBE:R1:high,90,0.0,0.2029375220174913,0.5,0.0,0.2142857142857143,0.6793242814363705,0.6153846153846154,0.9230161338108711,0.09746790310868675,7.125922366217152
VAE,S-PROBE:R1:inplace,30,0.0,0.18433364020314275,0.3571428571428571,0.0,0.1428571428571428,0.5762708408229942,0.4615384615384615,0.8176032895411238,0.09630056065965639,6.4191295302943185
VAE,S-PROBE:R2:high,90,0.03333333333333333,0.20380392713624823,0.4285714285714285,0.0,0.2142857142857143,0.678818179738242,0.5384615384615384,0.9272104638468814,0.10228743630082321,7.213219927654855
VAE,S-PROBE:R2:inplace,30,0.03333333333333333,0.20408246054046544,0.4285714285714285,0.0,0.12499999999999994,0.586140140751465,0.423076923076923,0.8400463339513881,0.10495028103053444,6.671716217138754
VAE,S-PROBE:R3:high,90,0.05555555555555555,0.2862879015431577,0.3571428571428571,0.0,0.1428571428571428,0.6173531588814842,0.3076923076923077,0.8592068856632524,0.12305240746004664,6.553882197267851
VAE,S-PROBE:R3:inplace,30,0.0,0.2375361328527045,0.3571428571428571,0.0,0.19642857142857145,0.60652337847601,0.3846153846153846,0.830920408365913,0.1026741749659272,6.680803711511624
VAE,S-SWEEP:A_empty,10,0.2,0.45215937045591337,0.8611111111111112,0.2,0.23611111111111105,0.6608363624896423,0.7647058823529411,0.8774634305855828,0.07254314029533225,11.48080567729015
VAE,S-SWEEP:A_word,10,0.2,0.41102743021466037,0.8888888888888888,0.2,0.19444444444444442,0.6512006512120069,0.6470588235294118,0.8631135270397445,0.073481845650889,11.226246364596708
