space,group,key,s0,d_frames,rmse_fit,rmse_lerp,rmse_cut,rho_mean,rho_at_cross,nu_mean
DINO,S-GRID:NULLGEN,null_v2__firelava_4__s42,0.29,24.0,0.074748011062846,0.2111252644397418,0.1371430099979189,0.3497541437285011,0.7391705736761943,0.3657410587452294
DINO,S-GRID:NULLGEN,null_v2__firelava_4__s43,0.325,32.0,0.0851820537044062,0.1682321428919646,0.1354945401547704,0.3714158085771716,0.913814201890878,0.389758728491729
DINO,S-GRID:NULLGEN,null_v2__flying_cam_transition_4__s42,0.375,12.0,0.0520769065839994,0.2202361195113926,0.0931208677365107,0.2696092342634232,0.503483689632226,0.2804439647153108
DINO,S-GRID:NULLGEN,null_v2__flying_cam_transition_4__s43,0.48,16.0,0.0350717396376268,0.2195366552803367,0.0961243489307733,0.2504359152268252,0.5286870399278906,0.263762356254472
DINO,S-GRID-F:NULLGEN,gridF_v2__davis_bear_elephant__s42,0.5650000000000001,16.0,0.0800507069437429,0.2177151764811651,0.1257025574447157,0.3984643172229257,0.7617251616918712,0.4123230953962685
DINO,S-GRID-F:NULLGEN,gridF_v2__davis_bear_elephant__s43,0.215,16.0,0.0568131819006926,0.2832396325868744,0.1022787850000342,0.3867886256985638,0.6411697371030404,0.3981409542915916
DINO,S-GRID-F:NULLGEN,gridF_v2__davis_tennis_snowboard__s42,0.095,64.0,0.1009983153432644,0.1513321315516744,0.1692072230533828,0.4814623509762402,0.7519553820725089,0.5101653526495141
DINO,S-GRID-F:NULLGEN,gridF_v2__davis_tennis_snowboard__s43,0.01,64.0,0.1148641118744373,0.2052157671734377,0.170259730020167,0.4829941943158498,0.7305334475851916,0.5118667982821369
DINO,S-GRID-F:NULLGEN,gridF_v2__davis_blackswan_rhino__s42,0.635,12.0,0.0390394706272476,0.2917597066972857,0.0857240827874932,0.245156217043002,0.8620995535614089,0.2531035213842994
DINO,S-GRID-F:NULLGEN,gridF_v2__davis_blackswan_rhino__s43,0.595,5.0,0.0472938645537134,0.2616856316705022,0.0563222927759281,0.2270704017584429,0.5526776489533216,0.2317416323604693
DINO,S-GRID:NULLGEN,null_v3__hero_flight_1__s42,0.625,16.0,0.0637911161179066,0.2910452719726324,0.1227697509523297,0.3297746295042145,0.8400948999319277,0.3426741467102767
DINO,S-GRID:NULLGEN,null_v3__hero_flight_1__s43,0.59,12.0,0.0820245790938159,0.2427306117855961,0.1082157306700762,0.3787381470948988,0.7619326542558299,0.3939785637068716
DINO,S-GRID:NULLGEN,null_v3__shadow_smoke_2__s42,0.315,12.0,0.0169361903508012,0.2706058470266251,0.0724682404539964,0.168010675902456,0.5022779249747147,0.1760777865993318
