clip_id,stratum,group,owner,gap_over_anchor_norm,d_encLERP_to_LATLERP_med,d_encLERP_to_LATLERP_mid,latlerp_norm_min,enclerp_norm_min,main_norm_min,main_norm_med,cut_norm_min,dino_cos_AB,dino_chord_mid_norm,anchor_a_norm,anchor_b_norm
null_v3__hero_flight_1__s43,S-GRID,NULLGEN,GT__hero_flight_1,1.3719291086691792,0.5614505412280685,0.5614505412280685,0.727691274410798,0.9122755299654032,0.9822188507905971,1.0219690757293702,0.9884707906173015,0.021457793122408475,0.7146529903115247,211.6885722907308,207.94249324542088
null_v3__shadow_smoke_2__s42,S-GRID,NULLGEN,GT__shadow_smoke_2,1.4427402461898953,0.37482726937779554,0.37482726937779554,0.6824861344113854,0.8752558912567074,0.8860950031116341,1.1154291936201932,0.9139933036621872,0.015740338404896193,0.71265010292741,192.29158261096424,248.03687245306386
null_v3__shadow_smoke_2__s43,S-GRID,NULLGEN,GT__shadow_smoke_2,1.4427402461898953,0.37482726937779554,0.37482726937779554,0.6824861344113854,0.8752558912567074,0.8795542656506206,1.1167506850804743,0.9139933036621872,0.0013422079338170079,0.7075811642256374,192.29158261096424,248.03687245306386
null_v3__hero_flight_5__s42,S-GRID,NULLGEN,GT__hero_flight_5,1.4550451647362348,0.5263798837771291,0.5263798837771291,0.6860891044559088,0.9141026977440254,0.99287765068143,1.046144587441044,1.0132477875398773,0.03501194315849432,0.7193788790194269,203.66990141367637,204.74088771077143
null_v3__hero_flight_5__s43,S-GRID,NULLGEN,GT__hero_flight_5,1.4550451647362348,0.5263798837771291,0.5263798837771291,0.6860891044559088,0.9141026977440254,0.9540074425569961,1.0590046494750787,1.0132477875398773,0.0352278258781098,0.7194538991061588,203.66990141367637,204.74088771077143
null_v3__shadow_smoke_0__s42,S-GRID,NULLGEN,GT__shadow_smoke_0,1.2275859483891904,0.4414129580059129,0.4414129580059129,0.7896917282316942,0.891771083973057,0.9717383270711137,1.0160661903193822,0.9869842597118264,0.044551576621927325,0.7226865076303581,221.71228415996978,230.23208331218484
null_v3__shadow_smoke_0__s43,S-GRID,NULLGEN,GT__shadow_smoke_0,1.2275859483891904,0.4414129580059129,0.4414129580059129,0.7896917282316942,0.891771083973057,0.9044719492423079,1.0060346174222892,0.9869842597118264,0.0492332619089666,0.7243042392216708,221.71228415996978,230.23208331218484
null_v3__air_bending_1__s42,S-GRID,NULLGEN,GT__air_bending_1,1.3245920378851332,0.2778840340541877,0.2991815045207662,0.7494323622657708,0.8986104067834342,0.934538045005615,1.0066891556968576,0.9793133506920457,0.15785012551759792,0.7608712524197501,222.8972022667429,215.48996684368623
null_v3__air_bending_1__s43,S-GRID,NULLGEN,GT__air_bending_1,1.3245920378851332,0.2778840340541877,0.2991815045207662,0.7494323622657708,0.8986104067834342,0.9885188084552421,0.9997246129731193,0.9793133506920457,0.1647653056817262,0.7631399955714961,222.8972022667429,215.48996684368623
null_v3__display_transition_1__s42,S-GRID,NULLGEN,GT__display_transition_1,1.3828867022586415,0.35850005529965945,0.35110363380364407,0.7067601256380079,0.835213632800831,0.8300833620508823,0.8723181483567084,0.8479457622811858,0.015499787745284266,0.7125657119681259,235.4108532604055,176.30390413396032
