clip_id,group,cls,path,a_idx,b_idx,gini,offline,DR,gap_rel
base_cond|04_neutral_v3__dai|0c059c336a,GEN:base_cond:v3:neutral:start,northern_lights_1,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__northern_lights_1__ref_northern_lights_0__s43.mp4,8,120,0.4937463012777259,0.4916339066564971,0.47474889444675,0.1494792501669976
base_cond|04_neutral_v3__dai|b2cd772d2f,GEN:base_cond:v3:neutral:start,point_cloud_0,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__point_cloud_0__ref_point_cloud_1__s42.mp4,8,120,0.7908108842733976,0.450961725841746,0.6793961379391095,0.7273325495097516
base_cond|04_neutral_v3__dai|c503ed54ea,GEN:base_cond:v3:neutral:start,point_cloud_0,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__point_cloud_0__ref_point_cloud_1__s43.mp4,8,120,0.7389397575309895,0.3256231345523551,0.3569154300948667,0.7500388173210981
base_cond|04_neutral_v3__dai|f656cd86c5,GEN:base_cond:v3:neutral:start,point_cloud_1,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__point_cloud_1__ref_point_cloud_0__s42.mp4,8,120,0.9341673294465052,0.591803769989659,0.7944502448386049,0.7190961942163346
base_cond|04_neutral_v3__dai|398ceb2d99,GEN:base_cond:v3:neutral:start,point_cloud_1,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__point_cloud_1__ref_point_cloud_0__s43.mp4,8,120,0.9051898177639092,0.537823271544083,0.6280824306051,0.8904286641100477
base_cond|04_neutral_v3__dai|3fa640eddf,GEN:base_cond:v3:neutral:start,x_ray_0,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__x_ray_0__ref_x_ray_1__s42.mp4,8,120,0.524218541630771,0.6550767857934843,0.6699310702827131,0.6567266980069669
base_cond|04_neutral_v3__dai|4196bc05e3,GEN:base_cond:v3:neutral:start,x_ray_0,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__x_ray_0__ref_x_ray_1__s43.mp4,8,120,0.3956930972808057,0.6673780451776794,0.7039593472659098,0.6919218560718138
base_cond|04_neutral_v3__dai|6b90418b74,GEN:base_cond:v3:neutral:start,x_ray_1,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__x_ray_1__ref_x_ray_0__s42.mp4,8,120,0.4717747369235214,0.4136056403002027,0.456863824109399,0.5774742118720422
base_cond|04_neutral_v3__dai|8db1aeded6,GEN:base_cond:v3:neutral:start,x_ray_1,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__x_ray_1__ref_x_ray_0__s43.mp4,8,120,0.2834633280162768,0.5077988403146683,0.6486405052309916,0.4723608398890221
base_cond|04_neutral_v3__dai|36de6c7923,GEN:base_cond:v3:neutral:start,train_rush_0,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__train_rush_0__ref_train_rush_1__s42.mp4,8,120,0.5328590392842583,0.5380331923170184,0.5284055677381047,0.7448386556454563
base_cond|04_neutral_v3__dai|d04d624c61,GEN:base_cond:v3:neutral:start,train_rush_0,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__train_rush_0__ref_train_rush_1__s43.mp4,8,120,0.5535933434842912,0.7571806190830279,0.8649929266763032,0.7223966771614329
base_cond|04_neutral_v3__dai|d08c731198,GEN:base_cond:v3:neutral:start,train_rush_1,store/gens/005_base_cond/04_neutral_v3__dai/videos/G-zs-same__base_cond_neutral_v3__train_rush_1__ref_train_rush_0__s42.mp4,8,120,0.8295739087428828,0.4931850626815146,0.631857941563566,0.8387097783394654
base_cond|06_effect_v3__dai|d13301a871,GEN:base_cond:v3:effect:start,acid_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__acid_0__ref_nature_bloom_1__s42.mp4,8,120,0.8047693125843915,0.4087901695551187,0.4971358912003895,0.7807846372223811
base_cond|06_effect_v3__dai|72220d0729,GEN:base_cond:v3:effect:start,acid_0,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__acid_0__ref_nature_bloom_1__s43.mp4,8,120,0.8343010147380452,0.2717839078785556,0.2875582350419048,0.6544178970631129
base_cond|06_effect_v3__dai|0abb4dacd2,GEN:base_cond:v3:effect:both,air_bending_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__air_bending_1__ref_earth_wave_3__s42.mp4,8,113,0.7044623399111509,0.2630187695454682,0.2783072227606632,1.0863572348098258
base_cond|06_effect_v3__dai|5e85d0442b,GEN:base_cond:v3:effect:both,air_bending_1,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__air_bending_1__ref_earth_wave_3__s43.mp4,8,113,0.7405578538516548,0.401932812483306,0.5338408725737316,1.085552926611271
base_cond|06_effect_v3__dai|e0e6904fff,GEN:base_cond:v3:effect:start,color_rain_2,store/gens/005_base_cond/06_effect_v3__dai/videos/G-unseen-cross__base_cond_effect_v3__color_rain_2__ref_fire_element_2__s42.mp4,8,120,0.5084342179577293,0.2603329804345423,0.2693522613699571,0.5090131392727748
