endpoint,seed,cls_ep,src,foreign,DR_both,DR_start,M_both,M_start,cls_both,cls_start,abrupt_both,abrupt_start,ss_both,ss_start,pos_both,pos_start,dDR,on_both,on_start
display_transition_1,42,display_transition,heldout,False,0.1901746094226837,0.3361513316631317,0.0,0.4594594594594595,REAL,REAL,True,True,0.15191683173179626,0.253947913646698,0.38095238095238093,0.16071428571428573,-0.14597672224044803,False,False
display_transition_1,43,display_transition,heldout,False,0.1843366175889969,0.3535251319408417,0.0769230769230769,0.0,REAL,REAL,True,True,0.23416286706924438,0.4174823760986328,0.8095238095238095,0.26785714285714285,-0.1691885143518448,False,False
earth_wave_3,42,earth_wave,heldin_test,False,0.1960812211036682,0.1411011517047882,0.1826923076923076,0.0,REAL,REAL,False,True,0.05181337147951126,0.3635951578617096,0.38095238095238093,0.16071428571428573,0.054980069398880005,False,False
earth_wave_3,43,earth_wave,heldin_test,False,0.4790793359279632,0.2306790500879287,0.2596153846153846,0.027027027027027,REAL,REAL,False,False,0.03321508318185806,0.05054440349340439,0.17142857142857143,0.14285714285714285,0.2484002858400345,False,False
davis_bear_elephant,42,davis,davis,True,0.3580967783927917,0.5115819573402405,0.0384615384615384,0.2882882882882883,REAL,REAL,False,False,0.02996770851314068,0.017492007464170456,0.5714285714285714,0.22321428571428573,-0.15348517894744879,False,False
davis_bear_elephant,43,davis,davis,True,0.4860300421714782,0.2997007966041565,0.0576923076923076,0.1261261261261261,REAL,REAL,False,False,0.050052933394908905,0.026752149686217308,0.2857142857142857,0.23214285714285715,0.18632924556732172,False,False
raven_transition_2,42,raven_transition,heldout,False,0.2157641053199768,0.4159747064113617,0.0,0.045045045045045,REAL,REAL,True,True,0.18987369537353516,0.1659127026796341,0.37142857142857144,0.875,-0.2002106010913849,False,False
raven_transition_2,43,raven_transition,heldout,False,0.2692542672157287,0.1995842456817627,0.0576923076923076,0.0,REAL,REAL,True,True,0.08478803932666779,0.1692688912153244,0.18095238095238095,0.16964285714285715,0.06967002153396601,False,False
davis_tennis_snowboard,42,davis,davis,True,0.6332759857177734,0.4007807075977325,0.3269230769230769,0.2612612612612612,REAL,REAL,False,False,0.023269305005669594,0.01904127560555935,0.49523809523809526,0.42857142857142855,0.23249527812004095,False,False
davis_tennis_snowboard,43,davis,davis,True,0.7263085842132568,0.4615290760993957,0.5288461538461539,0.1261261261261261,REAL,REAL,False,False,0.035647545009851456,0.019664784893393517,0.2761904761904762,0.25892857142857145,0.26477950811386114,False,False
water_bending_3,42,water_bending,heldin_test,False,0.2261503934860229,0.2750759124755859,0.048076923076923,0.036036036036036,REAL,REAL,False,True,0.05259796977043152,0.08569101989269257,0.8571428571428571,0.4375,-0.04892551898956299,False,False
water_bending_3,43,water_bending,heldin_test,False,0.2526994049549103,0.2811111509799957,0.0096153846153846,0.045045045045045,REAL,REAL,True,True,0.12433424592018127,0.13180390000343323,0.3047619047619048,0.33035714285714285,-0.02841174602508545,False,False
air_bending_1,42,air_bending,heldin_test,False,0.0388764292001724,0.3827358782291412,0.0576923076923076,0.0,CUT,REAL,True,True,0.1417989879846573,0.24452312290668488,0.5047619047619047,0.16071428571428573,-0.3438594490289688,True,False
air_bending_1,43,air_bending,heldin_test,False,0.0884714424610138,0.505703330039978,0.0288461538461538,0.0,CUT,REAL,False,True,0.10870905965566635,0.16091300547122955,0.34285714285714286,0.26785714285714285,-0.41723188757896423,True,False
giant_grab_3,42,giant_grab,heldin_test,False,0.5423876643180847,0.6823495626449585,0.2692307692307692,0.3693693693693693,REAL,REAL,False,False,0.05681971088051796,0.029565490782260895,0.5238095238095238,0.017857142857142856,-0.13996189832687378,False,False
giant_grab_3,43,giant_grab,heldin_test,False,0.3068933486938476,0.5221849083900452,0.0576923076923076,0.3333333333333333,REAL,REAL,True,False,0.10484819859266281,0.026936298236250877,0.5619047619047619,0.9464285714285714,-0.21529155969619757,False,False
davis_blackswan_rhino,42,davis,davis,True,0.7154622077941895,0.5032160878181458,0.625,0.4864864864864865,REAL,REAL,False,False,0.037739530205726624,0.015850692987442017,0.6571428571428571,0.2767857142857143,0.2122461199760437,False,False
davis_blackswan_rhino,43,davis,davis,True,0.6641305088996887,0.5696461200714111,0.4807692307692308,0.4864864864864865,REAL,REAL,False,False,0.04561161622405052,0.03424471616744995,0.6095238095238096,0.26785714285714285,0.09448438882827759,False,False
firelava_4,42,firelava,heldout,False,0.2052749097347259,0.3781452775001526,0.0673076923076923,0.009009009009009,REAL,REAL,False,True,0.0618194080889225,0.08724244683980942,0.44761904761904764,0.3482142857142857,-0.1728703677654267,False,False
firelava_4,43,firelava,heldout,False,0.2949568033218384,0.4712420105934143,0.0096153846153846,0.1081081081081081,REAL,REAL,True,False,0.1285131424665451,0.058277759701013565,0.42857142857142855,0.17857142857142858,-0.17628520727157593,False,False
flying_cam_transition_4,42,flying_cam_transition,heldout,False,0.185031309723854,0.2056232541799545,0.0576923076923076,0.027027027027027,REAL,REAL,False,True,0.03690805286169052,0.1112719252705574,0.37142857142857144,0.42857142857142855,-0.02059194445610049,False,False
flying_cam_transition_4,43,flying_cam_transition,heldout,False,0.3014810681343078,0.1717321872711181,0.1153846153846153,0.1081081081081081,REAL,REAL,False,False,0.030146639794111252,0.0449155829846859,0.5523809523809524,0.16071428571428573,0.1297488808631897,False,False
