recipe,clip,latent_frame,sqerr,frac_of_clip_total,is_conditioned,region
exp_030,shadow_smoke_6,4,36117.046875,0.08304973242315766,0,middle
exp_030,shadow_smoke_6,5,44145.2578125,0.10151028852852287,0,middle
exp_030,shadow_smoke_6,6,54484.73046875,0.12528550028573046,0,middle
exp_030,shadow_smoke_6,7,39094.19140625,0.0898955594798688,0,middle
exp_030,shadow_smoke_6,8,23589.546875,0.054243237624955594,0,middle
exp_030,shadow_smoke_6,9,17387.193359375,0.03998116903310073,0,middle
exp_030,shadow_smoke_6,10,24762.96875,0.056941475193367806,0,middle
exp_030,shadow_smoke_6,11,7674.107421875,0.01764630896260914,0,middle
exp_030,shadow_smoke_6,12,44523.390625,0.10237979009677757,1,end
exp_030,shadow_smoke_6,13,27300.46875,0.0627763568976534,1,end
exp_030,shadow_smoke_6,14,29035.076171875,0.06676501861588648,1,end
exp_030,shadow_smoke_6,15,24290.408203125,0.05585484075430253,1,end
exp_030,shadow_smoke_7,0,24599.34765625,0.04198205115387862,1,start
exp_030,shadow_smoke_7,1,21717.68359375,0.03706410902912347,1,start
exp_030,shadow_smoke_7,2,19708.435546875,0.0336350606062355,1,start
exp_030,shadow_smoke_7,3,9961.9267578125,0.017001349978133184,1,start
exp_030,shadow_smoke_7,4,19056.41015625,0.03252229275217041,0,middle
exp_030,shadow_smoke_7,5,39672.2109375,0.0677058925398953,0,middle
exp_030,shadow_smoke_7,6,59704.47265625,0.1018936054807616,0,middle
exp_030,shadow_smoke_7,7,70886.234375,0.12097676569406808,0,middle
exp_030,shadow_smoke_7,8,78175.453125,0.1334167847836215,0,middle
exp_030,shadow_smoke_7,9,68086.0390625,0.11619786080224027,0,middle
exp_030,shadow_smoke_7,10,51928.54296875,0.0886229495889316,0,middle
exp_030,shadow_smoke_7,11,25807.14453125,0.044043316797923525,0,middle
exp_030,shadow_smoke_7,12,56460.5234375,0.09635737566096206,1,end
exp_030,shadow_smoke_7,13,13346.8466796875,0.02277816500988603,1,end
exp_030,shadow_smoke_7,14,13060.3134765625,0.02228915807527237,1,end
exp_030,shadow_smoke_7,15,13777.576171875,0.023513262046896497,1,end
exp_030,shadow_smoke_8,0,17998.890625,0.05261759609017344,1,start
exp_030,shadow_smoke_8,1,16717.51953125,0.04887166151802193,1,start
exp_030,shadow_smoke_8,2,11783.138671875,0.03444659141658746,1,start
exp_030,shadow_smoke_8,3,3498.344482421875,0.01022699014041934,1,start
exp_030,shadow_smoke_8,4,29160.8125,0.08524813477421088,0,middle
exp_030,shadow_smoke_8,5,38817.8125,0.11347921501295781,0,middle
exp_030,shadow_smoke_8,6,47032.57421875,0.13749408476797675,0,middle
exp_030,shadow_smoke_8,7,34486.0,0.10081568117566808,0,middle
exp_030,shadow_smoke_8,8,36967.66015625,0.1080705167349924,0,middle
exp_030,shadow_smoke_8,9,16464.83203125,0.04813295994529454,0,middle
exp_030,shadow_smoke_8,10,6895.87939453125,0.02015927560357599,0,middle
exp_030,shadow_smoke_8,11,670.58203125,0.001960366069263814,0,middle
